00:00.418  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch17_v1/master.blend"
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | closed upper roof slab
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | complete six point original footprint deck
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | contained continuous mitred eaves
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | deep inset glazing
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | deep projecting stone sill
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | door head frame
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | door jamb
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | door transom frame
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | door transom glazing
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | entrance stone jamb surround
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | estimated rear rainwater pipe
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | front and rear intermediate course
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | ground transom rail
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | inset door panels
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | inset upper tier recessed glazing
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | inset upper tier solid walls
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | painted entrance leaf
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | pierced wall piers
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | pipe fixing collars
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | recessed window bottom sash
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | recessed window outer sash
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | segmented low plinth
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | simple entrance lintel
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | simple stone window lintel
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | soldier-course header blocks
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | solid wall lintels
15:51:21 | INFO: Blender create Mesh node finite entry approach from audited ground.001
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | tripartite mews casement mullions
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | upper sash glazing bars
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | upper sash meeting rail
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | upper window head sill frames
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | upper window meeting rail
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | upper window stiles
15:51:21 | INFO: Blender create Mesh node 85 Princes Gate Mews | wall below recessed apertures
15:51:21 | INFO: glTF import finished in 0.09s
{"passed": true, "buildings": [{"building_id": "way-640097056", "entrances": [{"threshold_xyz": [949.6016235351562, 122.7336196899414, 0.0005843150429427624], "rays": 25, "checked_width_m": 0.9905142421756092}, {"threshold_xyz": [940.1669311523438, 153.316650390625, 0.0005843150429427624], "rays": 25, "checked_width_m": 1.0}], "entrance_check_status": "checked", "porch_support_samples": 4, "approach_profile_samples": 0, "passages": [], "shared_wall_samples": 40, "roof_coverage_samples": 151, "footprint_area_m2": 270.6293803891386}, {"building_id": "way-851362852", "entrances": [{"threshold_xyz": [961.8015747070312, -272.36474609375, 0.000338367884978652], "rays": 25, "checked_width_m": 0.9898594651758708}], "entrance_check_status": "checked", "porch_support_samples": 0, "approach_profile_samples": 0, "passages": [], "shared_wall_samples": 60, "roof_coverage_samples": 51, "footprint_area_m2": 101.46090017629122}, {"building_id": "way-809238787", "entrances": [{"threshold_xyz": [462.8192443847656, 6.463481426239014, -0.0006124757346697152], "rays": 25, "checked_width_m": 0.9900073067716331}], "entrance_check_status": "checked", "porch_support_samples": 4, "approach_profile_samples": 0, "passages": [], "shared_wall_samples": 40, "roof_coverage_samples": 68, "footprint_area_m2": 130.57517932773044}], "material_values_roundtrip_passed": true, "master_sha256": "ef31a8a405e6447f7f6a186da58ff6cc64e8cd2863b5183a30a9488be1ca440a", "replacement_sha256": "c1177aa3d25c4dc4cc67a58ac7176f104693891e3645043e3d917650ea1a7b34", "scope": "Exterior entry clearance before intentionally closed door assemblies, sampled mapped roof coverage and PBR round-trip. Not a survey or accessibility certification."}
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:31:22)

Blender quit
