00:01.703  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch09_v1/master.blend"
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | stone window sills
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | stucco attic parapet
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | third floor curved arch surrounds
12:10:39 | INFO: Blender create Mesh node 1–2 Queens Gate | window architrave sides
12:10:39 | INFO: Blender create Mesh node finite porch support
12:10:39 | INFO: Blender create Mesh node finite entry approach from audited ground
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | aperture stone surround
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | balcony cap rail
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | balcony turned balusters
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | continuous mitred cornices
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | curved window head masonry
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | door jamb
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | door leaf raised panels
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | door lintel frame
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | Doric entrance porch columns
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | Doric porch entablature
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | dormer central sash
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | dormer jambs
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | dormer recessed glass
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | dormer side cheeks
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | dormer sill
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | dormer top flashing
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | entrance leaf
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | estimated recessed attic mansard
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | first floor balcony deck
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | first floor Ionic shafts
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | full concave footprint roof
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | full depth wall piers
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | Ionic capital volute blocks
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | mansard front end slopes
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | mansard front pierced roof
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | parapet continuous upstand
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | parapet finial plinths
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | porch triglyph blocks
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | projecting window sill
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | recessed glazing
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | rounded dormer heads
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | rusticated stucco course edges
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | sash central mullion
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | sash jamb
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | second floor curved pediments
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | segmental ground archivolts
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | stylised bearded mask blocks estimated
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | stylised spiked globes
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | top floor giant consoles
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | triangular first floor pediments
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | wall below apertures
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | wall lintels
12:10:39 | INFO: Blender create Mesh node Cheval Hyde Park Gate | window sash rails
12:10:39 | INFO: glTF import finished in 0.24s
{"passed": true, "buildings": [{"building_id": "way-809238777", "entrances": [{"threshold_xyz": [423.8877868652344, 93.77745056152344, 0.0011226929491385818], "rays": 25, "checked_width_m": 0.9909271654015606}], "entrance_check_status": "checked", "porch_support_samples": 4, "passages": [], "shared_wall_samples": 60, "roof_coverage_samples": 477, "footprint_area_m2": 795.1106165759962}, {"building_id": "way-809238778", "entrances": [{"threshold_xyz": [450.9236755371094, 86.59607696533203, -2.5967357942136005e-05], "rays": 25, "checked_width_m": 0.9887393616664493}], "entrance_check_status": "checked", "porch_support_samples": 0, "passages": [], "shared_wall_samples": 20, "roof_coverage_samples": 208, "footprint_area_m2": 364.9463638136124}, {"building_id": "way-809238779", "entrances": [{"threshold_xyz": [446.11114501953125, 54.45237350463867, -5.15096462549991e-06], "rays": 25, "checked_width_m": 0.9901408698776801}], "entrance_check_status": "checked", "porch_support_samples": 4, "passages": [], "shared_wall_samples": 40, "roof_coverage_samples": 246, "footprint_area_m2": 427.5265747086387}], "material_values_roundtrip_passed": true, "master_sha256": "5b0d75c635bda7ce296c929e52f19b70cbbe03eb1acde082603b65ed9129f95e", "replacement_sha256": "c03c3bedd0448ea75575427c302de9ad06b2482e14523b8651e118c527bddfd4", "scope": "Exterior entry clearance before intentionally closed door assemblies, sampled mapped roof coverage and PBR round-trip. Not a survey or accessibility certification."}
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:31:22)

Blender quit
